# Heston (init_state = [100.0, 0.04], r = 0.03, kappa = 1.2, theta = 0.04, xi = 0.3, rho = 0.5)
#otype, maturity, strike, price 
-1,0.08333333333333333,96.0,0.6857697261595197
-1,0.08333333333333333,97.0,1.023741034066737
-1,0.08333333333333333,98.0,1.2457820864221476
-1,0.08333333333333333,99.0,1.6988713401124245
-1,0.08333333333333333,100.0,2.2436275438336546
-1,0.08333333333333333,101.0,2.5453612879525025
-1,0.08333333333333333,102.0,3.1209566872439156
-1,0.08333333333333333,103.0,3.9384626303929644
-1,0.08333333333333333,104.0,4.698732962658957
-1,0.16666666666666666,96.0,1.2388655180262698
-1,0.16666666666666666,97.0,1.6163180153499281
-1,0.16666666666666666,98.0,1.9570119866385012
-1,0.16666666666666666,99.0,2.577214241245305
-1,0.16666666666666666,100.0,3.044646119140122
-1,0.16666666666666666,101.0,3.4298960619400627
-1,0.16666666666666666,102.0,3.8188539561826746
-1,0.16666666666666666,103.0,4.73272919672643
-1,0.16666666666666666,104.0,5.487372745499735
-1,0.25,96.0,1.789383342331188
-1,0.25,97.0,2.2834858665861284
-1,0.25,98.0,2.665890140345076
-1,0.25,99.0,3.1983080016971037
-1,0.25,100.0,3.263594892000923
-1,0.25,101.0,3.995845959135266
-1,0.25,102.0,4.665304541148731
-1,0.25,103.0,5.2760214783761
-1,0.25,104.0,5.87792896417769
-1,0.4166666666666667,96.0,2.7658718746385427
-1,0.4166666666666667,97.0,3.1577433842773814
-1,0.4166666666666667,98.0,3.157031186038403
-1,0.4166666666666667,99.0,3.859054724675054
-1,0.4166666666666667,100.0,4.532434067915905
-1,0.4166666666666667,101.0,4.704825156225759
-1,0.4166666666666667,102.0,5.704587331572639
-1,0.4166666666666667,103.0,5.942024673461528
-1,0.4166666666666667,104.0,6.815779027780377
-1,0.5,96.0,2.992745706269615
-1,0.5,97.0,3.0010180714216212
-1,0.5,98.0,3.6418117942397554
-1,0.5,99.0,4.092283513229114
-1,0.5,100.0,4.481998991638798
-1,0.5,101.0,4.973518597637939
-1,0.5,102.0,5.886388273353594
-1,0.5,103.0,6.5821970000265315
-1,0.5,104.0,6.892271723941851
-1,1.0,96.0,4.456744012920996
-1,1.0,97.0,4.630280789550644
-1,1.0,98.0,5.156250837665193
-1,1.0,99.0,5.675043124627873
-1,1.0,100.0,6.07107985642059
-1,1.0,101.0,6.210968233253633
-1,1.0,102.0,6.861958412583431
-1,1.0,103.0,7.570952316750723
-1,1.0,104.0,8.434117898169612
1,0.08333333333333333,96.0,4.833961591619141
1,0.08333333333333333,97.0,4.168454036855125
1,0.08333333333333333,98.0,3.5189019839332745
1,0.08333333333333333,99.0,3.107469303799004
1,0.08333333333333333,100.0,2.5318037094034027
1,0.08333333333333333,101.0,1.987940821001938
1,0.08333333333333333,102.0,1.5377934206107164
1,0.08333333333333333,103.0,1.2342156066094125
1,0.08333333333333333,104.0,1.022754325659639
1,0.16666666666666666,96.0,6.411319794263526
1,0.16666666666666666,97.0,5.3270546077076
1,0.16666666666666666,98.0,4.487394429732033
1,0.16666666666666666,99.0,3.86224255083792
1,0.16666666666666666,100.0,3.4602070236035054
1,0.16666666666666666,101.0,2.7204370993761713
1,0.16666666666666666,102.0,2.738754703696918
1,0.16666666666666666,103.0,2.120279298119744
1,0.16666666666666666,104.0,1.8969666184323972
1,0.25,96.0,6.480046351068955
1,0.25,97.0,5.544848465200106
1,0.25,98.0,5.239704748349541
1,0.25,99.0,4.601171758449335
1,0.25,100.0,4.316430247301334
1,0.25,101.0,3.7326112970185896
1,0.25,102.0,3.2721693085882038
1,0.25,103.0,3.002707027462042
1,0.25,104.0,2.399518655004448
1,0.4166666666666667,96.0,7.688172144324339
1,0.4166666666666667,97.0,7.237563067159547
1,0.4166666666666667,98.0,6.349267909349968
1,0.4166666666666667,99.0,5.950534606338715
1,0.4166666666666667,100.0,5.4681657364552905
1,0.4166666666666667,101.0,5.264012203816427
1,0.4166666666666667,102.0,4.668517725787499
1,0.4166666666666667,103.0,4.974934217069144
1,0.4166666666666667,104.0,4.069698429238642
1,0.5,96.0,8.316460256770386
1,0.5,97.0,7.908529696868658
1,0.5,98.0,7.214158614115974
1,0.5,99.0,6.003779154168449
1,0.5,100.0,5.665112652952016
1,0.5,101.0,5.331277484765808
1,0.5,102.0,5.91680996304392
1,0.5,103.0,4.658996232521573
1,0.5,104.0,4.273661457272441
1,1.0,96.0,11.02041467227714
1,1.0,97.0,10.43287890801979
1,1.0,98.0,10.936149671816175
1,1.0,99.0,9.029135526501678
1,1.0,100.0,9.241969556999397
1,1.0,101.0,9.014772881398883
1,1.0,102.0,8.892718089769284
1,1.0,103.0,7.623625987058299
1,1.0,104.0,7.1692284098584675
